id,job_title,company
1,Astrogeologist,University of Edinburgh
2,Bioinformatician,Wellcome Sanger Institute
3,Chartered Surveyor,Royal Institution of Chartered Surveyors
4,Clinical Psychologist,National Health Service (NHS)
5,Computer Forensics Expert,Metropolitan Police Service
6,Data Scientist,Google DeepMind
7,DNA Sequencer,Oxford Nanopore Technologies
8,Driller,British Drilling Company
9,Embryologist,University College London (UCL)
10,Financial Analyst,Barclays Bank
11,Genetic Counselor,National Genetics Education and Development Centre (N-GEDC)
12,Historic Building Inspector,English Heritage
13,Illustrator,Tate Gallery
14,Jeweller,Royal School of Jewellery
15,Librarian,British Library
16,Marine Biologist,National Oceanography Centre (NOC)
17,Meteorologist,Met Office
18,Museum Curator,British Museum
19,Neonatologist,University College London Hospitals (UCLH)
20,Nuclear Physicist,STFC Daresbury Laboratory
21,Ornithologist,Royal Society for the Protection of Birds (RSPB)
22,Pathologist,University of Cambridge
23,Pharmacist,Boots UK
24,Photographer,National Geographic Society
25,Physical Therapist,NHS
26,Plant Biologist,Royal Botanic Gardens Kew
27,Police Officer,Metropolitan Police Service
28,Radiographer,University Hospitals Birmingham NHS Foundation Trust
29,Reporter,BBC
30,Robotics Engineer,Bosch UK
31,Social Worker,Local Government
32,Software Developer,Microsoft Research
33,Spacecraft Technician,European Space Agency (ESA)
34,Surgeon,Royal Free London Hospital NHS Foundation Trust
35,Teacher,Department for Education
36,Theatre Director,National Theatre
37,Translator,British Council
38,Veterinarian,Royal Veterinary College
39,Web Developer,Government Digital Service
40,Wind Turbine Technician,Siemens Gamesa Renewable Energy UK
41,X-ray Technologist,University Hospitals Birmingham NHS Foundation Trust
42,Zoologist,Zoological Society of London
43,Aeronautical Engineer,Rolls-Royce plc
44,Architect,Royal Institute of British Architects (RIBA)
45,Biochemist,University of Oxford
46,Botanic Garden Curator,Royal Botanic Gardens Edinburgh
47,Brain Surgeon,National Hospital for Neurology and Neurosurgery
48,Broadcast Journalist,BBC
49,Building Services Engineer,Chartered Institution of Building Services Engineers (CIBSE)
50,Cardiologist,Royal Brompton & Harefield NHS Foundation Trust
51,Chemical Engineer,Shell UK
52,Chief Executive,National Lottery Community Fund
53,Choreographer,Sadler's Wells Theatre
54,Climate Scientist,Met Office
55,Computational Biologist,EMBL-European Bioinformatics Institute
56,Conservator,British Museum
